127.0.0.1, 2016-11-26 13:00:58, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000219
127.0.0.1, 2016-11-26 13:00:58, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000323
127.0.0.1, 2016-11-26 13:00:58, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000445
127.0.0.1, 2016-11-26 13:00:58, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000320
127.0.0.1, 2016-11-26 13:00:58, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000844
127.0.0.1, 2016-11-26 13:00:58, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000657
127.0.0.1, 2016-11-26 13:00:58, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000606
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/default/index, HTTP/1.1, 200, 0.088240
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000623
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000297
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000269
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000241
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000293
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000448
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000395
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.000220
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000474
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000204
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000386
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001043
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000368
127.0.0.1, 2016-11-26 13:01:00, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000346
127.0.0.1, 2016-11-26 13:01:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000282
127.0.0.1, 2016-11-26 13:01:02, POST, /admin/default/index, HTTP/1.1, 303, 0.023923
127.0.0.1, 2016-11-26 13:01:02, GET, /admin/default/site, HTTP/1.1, 200, 0.037281
127.0.0.1, 2016-11-26 13:01:02, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.000322
127.0.0.1, 2016-11-26 13:01:02, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000215
127.0.0.1, 2016-11-26 13:01:02, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000314
127.0.0.1, 2016-11-26 13:01:03, POST, /admin/default/check_version, HTTP/1.1, 200, 0.377993
127.0.0.1, 2016-11-26 13:01:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000200
127.0.0.1, 2016-11-26 13:01:06, GET, /py2manager/default/index, HTTP/1.1, 200, 0.073375
127.0.0.1, 2016-11-26 13:01:06, GET, /py2manager/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000348
127.0.0.1, 2016-11-26 13:01:06, GET, /py2manager/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000502
127.0.0.1, 2016-11-26 13:01:06, GET, /py2manager/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000821
127.0.0.1, 2016-11-26 13:01:06, GET, /py2manager/static/js/jquery.js, HTTP/1.1, 200, 0.000669
127.0.0.1, 2016-11-26 13:01:06, GET, /py2manager/static/css/calendar.css, HTTP/1.1, 200, 0.000396
127.0.0.1, 2016-11-26 13:01:06, GET, /py2manager/static/js/calendar.js, HTTP/1.1, 200, 0.000548
127.0.0.1, 2016-11-26 13:01:06, GET, /py2manager/static/js/web2py.js, HTTP/1.1, 200, 0.000672
127.0.0.1, 2016-11-26 13:01:06, GET, /py2manager/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000569
127.0.0.1, 2016-11-26 13:01:06, GET, /py2manager/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000353
127.0.0.1, 2016-11-26 13:01:06, GET, /py2manager/static/js/share.js, HTTP/1.1, 200, 0.000385
127.0.0.1, 2016-11-26 13:01:07, GET, /py2manager/static/images/background.jpg, HTTP/1.1, 200, 0.000324
127.0.0.1, 2016-11-26 13:01:07, GET, /py2manager/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000312
127.0.0.1, 2016-11-26 13:01:07, GET, /py2manager/static/images/twitter.png, HTTP/1.1, 200, 0.000364
127.0.0.1, 2016-11-26 13:01:07, GET, /py2manager/static/images/facebook.png, HTTP/1.1, 200, 0.000235
127.0.0.1, 2016-11-26 13:01:07, GET, /py2manager/static/images/gplus-32.png, HTTP/1.1, 200, 0.000524
127.0.0.1, 2016-11-26 13:01:07, GET, /py2manager/static/images/favicon.ico, HTTP/1.1, 200, 0.000369
127.0.0.1, 2016-11-26 13:01:09, GET, /admin/default/index, HTTP/1.1, 303, 0.003753
127.0.0.1, 2016-11-26 13:01:09, GET, /admin/default/site, HTTP/1.1, 200, 0.037300
127.0.0.1, 2016-11-26 13:01:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000205
127.0.0.1, 2016-11-26 13:01:12, GET, /py2manager/default/index, HTTP/1.1, 200, 0.020133
127.0.0.1, 2016-11-26 13:01:19, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.034817
