127.0.0.1, 2016-11-08 19:39:33, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.000342
127.0.0.1, 2016-11-08 19:39:33, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000323
127.0.0.1, 2016-11-08 19:39:33, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.000263
127.0.0.1, 2016-11-08 19:39:33, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.000310
127.0.0.1, 2016-11-08 19:39:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000254
127.0.0.1, 2016-11-08 19:39:58, GET, /admin/default/site, HTTP/1.1, 200, 0.020541
127.0.0.1, 2016-11-08 19:39:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000204
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/default/index, HTTP/1.1, 200, 0.045566
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000539
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/css/calendar.css, HTTP/1.1, 200, 0.001370
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002026
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002184
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/js/jquery.js, HTTP/1.1, 200, 0.001488
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/js/calendar.js, HTTP/1.1, 200, 0.003148
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/js/web2py.js, HTTP/1.1, 200, 0.000920
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000300
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000564
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/js/share.js, HTTP/1.1, 200, 0.000225
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/images/background.jpg, HTTP/1.1, 200, 0.000808
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000660
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/images/twitter.png, HTTP/1.1, 200, 0.000596
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/images/facebook.png, HTTP/1.1, 200, 0.000480
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/images/gplus-32.png, HTTP/1.1, 200, 0.000410
127.0.0.1, 2016-11-08 19:40:05, GET, /hello_world/static/images/favicon.ico, HTTP/1.1, 200, 0.000408
127.0.0.1, 2016-11-08 19:40:09, GET, /admin/default/index, HTTP/1.1, 303, 0.003624
127.0.0.1, 2016-11-08 19:40:09, GET, /admin/default/site, HTTP/1.1, 200, 0.019324
127.0.0.1, 2016-11-08 19:40:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000249
127.0.0.1, 2016-11-08 19:40:12, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.071128
127.0.0.1, 2016-11-08 19:40:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000199
127.0.0.1, 2016-11-08 19:40:27, GET, /admin/default/site, HTTP/1.1, 200, 0.019807
127.0.0.1, 2016-11-08 19:40:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000198
127.0.0.1, 2016-11-08 19:40:31, POST, /admin/default/site, HTTP/1.1, 303, 0.078936
127.0.0.1, 2016-11-08 19:40:31, GET, /admin/default/design/more, HTTP/1.1, 200, 0.103026
127.0.0.1, 2016-11-08 19:40:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000206
127.0.0.1, 2016-11-08 19:40:37, GET, /admin/default/site, HTTP/1.1, 200, 0.021236
127.0.0.1, 2016-11-08 19:40:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000209
127.0.0.1, 2016-11-08 19:40:44, POST, /admin/default/enable/more, HTTP/1.1, 200, 0.021799
127.0.0.1, 2016-11-08 19:40:48, POST, /admin/default/enable/more, HTTP/1.1, 200, 0.004959
127.0.0.1, 2016-11-08 19:40:50, GET, /more/default/index, HTTP/1.1, 200, 0.033768
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000844
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000955
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001418
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/css/calendar.css, HTTP/1.1, 200, 0.001570
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/js/jquery.js, HTTP/1.1, 200, 0.001707
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/js/web2py.js, HTTP/1.1, 200, 0.001501
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/js/calendar.js, HTTP/1.1, 200, 0.002301
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001407
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/js/share.js, HTTP/1.1, 200, 0.000497
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000775
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000511
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/images/background.jpg, HTTP/1.1, 200, 0.001018
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/images/twitter.png, HTTP/1.1, 200, 0.000360
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/images/facebook.png, HTTP/1.1, 200, 0.000914
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/images/gplus-32.png, HTTP/1.1, 200, 0.000746
127.0.0.1, 2016-11-08 19:40:50, GET, /more/static/images/favicon.ico, HTTP/1.1, 200, 0.000347
127.0.0.1, 2016-11-08 19:40:52, GET, /admin/default/site, HTTP/1.1, 200, 0.026362
127.0.0.1, 2016-11-08 19:40:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000228
127.0.0.1, 2016-11-08 19:41:00, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.065247
127.0.0.1, 2016-11-08 19:41:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000269
127.0.0.1, 2016-11-08 19:43:25, GET, /admin/default/edit/hello_world/controllers/default.py, HTTP/1.1, 200, 0.029882
127.0.0.1, 2016-11-08 19:43:25, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000419
127.0.0.1, 2016-11-08 19:43:25, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001668
127.0.0.1, 2016-11-08 19:43:25, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000881
